health,score,class_packs,out_of_bounds,result_rate
94,70.72,8,0,81.57333333333334
87,89.88,9,0,88.96
92,75.2,9,0,85.73333333333333
89,81.89,8,1,78.63
100,79.86,8,1,81.62
78,88.72,9,0,85.57333333333334
100,94.96,9,0,94.98666666666666
86,79.8,8,1,76.93333333333334
81,85.85,9,0,85.61666666666667
100,98.27,7,0,89.42333333333332
98,88.87,9,1,87.29
96,70.72,9,0,85.57333333333334
92,94.4,10,0,95.46666666666664
93,92.93,9,0,91.97666666666667
83,76.91,7,0,76.63666666666667
75,91.84,9,0,85.61333333333334
74,94.52,9,1,81.17333333333333
70,91.99,8,1,75.66333333333334
87,80.83,9,0,85.94333333333331
82,76.4,8,0,79.46666666666667
96,92.42,8,0,89.47333333333334
70,79.13,8,1,71.37666666666667
96,71.65,10,1,84.21666666666665
93,91.19,8,1,83.06333333333333
83,99.5,9,1,85.83333333333333
76,90.37,9,1,80.45666666666666
91,81.86,7,1,75.95333333333333
97,91.16,8,0,89.38666666666666
89,93.39,9,1,85.79666666666667
71,73.25,8,1,69.75
98,74.07,9,1,82.35666666666667
90,83.37,8,0,84.45666666666666
79,77.14,10,1,80.38
84,78.41,7,0,77.47
87,96.71,7,0,84.57
90,79.73,8,1,78.24333333333334
100,78.68,9,1,84.56
98,82.9,7,0,83.63333333333334
76,86.29,10,1,82.43
93,96.45,7,1,81.48333333333333
71,82.23,10,0,84.41000000000003
73,91.1,10,0,88.03333333333335
73,99.08,8,0,84.02666666666666
71,70.56,10,1,75.52
92,85.55,10,1,87.51666666666668
71,84.72,8,1,73.57333333333334
71,97.48,7,0,79.49333333333334
92,77.37,10,0,89.79
90,75.97,7,1,73.65666666666667
82,75.04,9,1,77.34666666666669
78,89.17,9,1,80.72333333333334
70,76.82,8,1,70.60666666666667
70,95.86,9,1,80.28666666666669
85,97.86,9,0,90.95333333333332
71,80.02,9,1,75.33999999999997
88,72.32,7,0,76.77333333333333
94,93.19,10,1,90.73
86,94.6,9,0,90.2
81,80.24,9,0,83.74666666666667
78,74.9,9,0,80.96666666666667
83,90.26,10,1,86.08666666666666
86,74.24,10,1,81.74666666666667
97,83.05,9,1,85.01666666666667
70,75.01,8,1,70.00333333333333
94,98.48,8,1,85.82666666666667
93,78.31,10,1,85.43666666666667
97,87.91,7,0,84.97
81,83.45,9,0,84.81666666666666
95,78.56,10,0,91.18666666666668
80,73.07,10,0,84.35666666666667
78,87.65,7,1,73.55
74,95.56,7,1,74.85333333333334
80,91.4,7,1,75.46666666666667
76,80.99,8,1,73.99666666666667
98,80.11,7,1,77.70333333333333
80,80.33,8,0,80.11
70,70.98,9,1,71.99333333333334
75,84.72,8,1,74.90666666666667
99,93.97,7,0,87.65666666666668
92,95.91,7,0,85.96999999999998
73,72.75,8,0,75.25
84,86.83,9,1,81.94333333333333
89,81.69,10,1,85.23
70,95.07,10,0,88.35666666666668
91,95.16,8,1,83.71999999999998
84,75.41,9,1,78.13666666666667
92,87.76,8,0,86.58666666666666
92,83.62,8,1,80.20666666666666
85,70.8,9,1,76.93333333333334
70,81.96,10,1,78.98666666666666
73,95.64,10,1,84.54666666666667
72,93.18,10,1,83.39333333333333
89,70.33,9,1,78.11
76,93.56,9,0,86.52
80,96.2,9,0,88.73333333333332
70,77.25,10,0,82.41666666666667
73,70.17,9,1,72.72333333333334
98,97.51,10,0,98.50333333333332
93,81.75,7,0,81.58333333333333
74,78.91,7,0,74.30333333333333
91,88.97,10,1,88.32333333333334
72,88.03,9,0,83.34333333333333
82,83.22,9,1,80.07333333333334
75,96.16,9,1,82.05333333333333
81,70.27,7,0,73.75666666666666
75,90.91,9,1,80.30333333333333
99,89.27,8,0,89.42333333333332
78,87.85,8,0,81.95
72,89.04,10,0,87.01333333333334
96,78.76,7,0,81.58666666666666
75,87.13,9,1,79.04333333333334
83,78.28,7,1,72.09333333333333
93,97.41,7,0,86.80333333333333
71,80.42,7,1,68.80666666666667
99,74.97,10,1,86.32333333333334
72,88.38,9,1,78.46
85,84.75,9,1,81.58333333333333
82,74.02,10,1,80.33999999999997
87,80.58,10,1,84.19333333333333
100,90.21,8,1,85.07
77,92.16,10,0,89.71999999999998
71,89.97,10,1,81.99000000000002
86,92.8,7,0,82.93333333333334
91,90.23,9,1,85.41000000000003
76,76.9,7,0,74.3
98,79.57,10,1,87.52333333333333
87,71.74,10,1,81.24666666666667
90,95.34,10,1,90.11333333333334
94,91.09,9,0,91.69666666666667
70,88.03,7,0,76.01
100,90.84,10,0,96.94666666666667
100,85.6,7,1,80.2
100,97.86,9,1,90.95333333333332
89,76.13,7,0,78.37666666666667
96,84.4,8,1,81.8
89,86.53,7,0,81.84333333333333
84,76.82,7,0,76.94
87,99.63,10,1,90.54333333333334
70,71.71,7,0,70.57
96,89.32,8,1,83.44
92,79.3,8,1,78.76666666666667
99,77.26,10,0,92.08666666666666
81,95.51,7,0,82.17
88,99.89,7,1,80.96333333333331
99,72.88,7,1,75.62666666666667
83,93.27,10,0,92.09
72,92.26,7,0,78.08666666666666
81,89.6,9,1,81.86666666666667
91,82.21,9,1,82.73666666666666
76,70.41,8,1,70.47
79,92.71,7,0,80.57
70,72.86,8,1,69.28666666666668
73,82.93,8,1,73.64333333333333
70,79.04,10,1,78.01333333333334
92,98.96,9,1,88.65333333333332
91,91.78,9,0,90.92666666666666
79,93.68,7,1,75.89333333333333
96,76.45,7,1,75.81666666666666
84,84.13,9,1,81.04333333333334
99,85.4,7,0,84.8
100,82.81,10,0,94.27
93,75.85,10,0,89.61666666666667
92,80.57,9,0,87.52333333333333
98,73.01,10,1,85.33666666666666
70,89.12,8,0,79.70666666666666
100,76.02,9,0,88.67333333333332
84,97.56,10,1,88.85333333333334
89,99.1,9,1,87.7
82,76.66,8,1,74.55333333333333
83,95.82,8,1,81.27333333333333
98,93.4,9,1,88.8
82,75.87,10,0,85.95666666666666
84,87.41,8,1,78.80333333333333
81,70.99,8,0,77.33
94,84.92,10,0,92.97333333333334
